State name,Fiscal year,tamaras_dta_enrollment,enrollment_2005,diff,total_enrollment
Alabama,2005,820629,955251,134622,1775880
Alaska,2005,97767,132837,35070,230604
Arizona,2005,997344,1474496,477152,2471840
Arkansas,2005,624155,746004,121849,1370159
California,2005,6552553,6812682,260129,13365235
Colorado,2005,410445,556744,146299,967189
Connecticut,2005,403437,529025,125588,932462
Delaware,2005,140202,179886,39684,320088
Florida,2005,2247559,2926422,678863,5173981
Georgia,2005,1377746,1837972,460226,3215718
Hawaii,2005,200534,231767,31233,432301
Idaho,2005,172097,231253,59156,403350
Illinois,2005,1827200,2427327,600127,4254527
Indiana,2005,810744,1028548,217804,1839292
Iowa,2005,297943,428757,130814,726700
Kansas,2005,275580,356720,81140,632300
Kentucky,2005,692053,846807,154754,1538860
Louisiana,2005,964106,1166034,201928,2130140
Maine,2005,266306,322437,56131,588743
Maryland,2005,716158,858983,142825,1575141
Massachusetts,2005,992330,1221554,229224,2213884
Michigan,2005,1435236,1857521,422285,3292757
Minnesota,2005,573218,748367,175149,1321585
Mississippi,2005,633123,779695,146572,1412818
Missouri,2005,949341,1217851,268510,2167192
Montana,2005,84282,114562,30280,198844
Nebraska,2005,206971,261351,54380,468322
Nevada,2005,175043,261144,86101,436187
New Hampshire,2005,100000,139635,39635,239635
New Jersey,2005,802060,968968,166908,1771028
New Mexico,2005,411069,519227,108158,930296
New York,2005,4188586,5075427,886841,9264013
North Carolina,2005,1137506,1601691,464185,2739197
North Dakota,2005,53880,74638,20758,128518
Ohio,2005,1711152,2125973,414821,3837125
Oklahoma,2005,544306,728238,183932,1272544
Oregon,2005,411478,538449,126971,949927
Pennsylvania,2005,1697693,2029389,331696,3727082
Rhode Island,2005,180457,219769,39312,400226
South Carolina,2005,833027,1011879,178852,1844906
South Dakota,2005,100932,129040,28108,229972
Tennessee,2005,1349591,1594023,244432,2943614
Texas,2005,2767261,4102067,1334806,6869328
Utah,2005,203016,309257,106241,512273
Vermont,2005,130208,160186,29978,290394
Virginia,2005,673995,884292,210297,1558287
Washington,2005,963057,1199408,236351,2162465
West Virginia,2005,296020,382991,86971,679011
Wisconsin,2005,813198,1022028,208830,1835226
Wyoming,2005,61439,81168,19729,142607
